Nombre,CodigoBarra,Categoria,FechaCaducidad,Marca,Precio,Stock
Refresco Naranja 500g,7500092,Bebidas,2026-09-10,Coca Cola,82.44,381
Refresco Naranja 1kg,7500093,Bebidas,2028-08-28,NutriPlus,49.29,151
Refresco Naranja Light,7500094,Bebidas,2028-07-11,NaturaBio,73.54,64
Refresco Naranja Premium,7500095,Bebidas,2027-04-18,SuperMax,4.42,432
Refresco Naranja Familiar,7500096,Bebidas,2026-08-02,Jumex,51.26,147
Refresco Lima,7500097,Bebidas,2025-02-27,Pepsi,32.6,141
Refresco Lima 500g,7500098,Bebidas,2026-09-01,Coca Cola,4.73,462
Refresco Lima 1kg,7500099,Bebidas,2028-01-27,NaturaBio,75.09,341
Refresco Lima Light,7500100,Bebidas,2027-01-17,Del Valle,60.63,150
Refresco Lima Premium,7500101,Bebidas,2028-06-22,Coca Cola,83.51,454
Refresco Lima Familiar,7500102,Bebidas,2025-11-12,Generico,104.2,237
Agua Natural,7500103,Bebidas,2028-01-13,Jumex,87.13,362
Agua Natural 500g,7500104,Bebidas,2026-03-24,Generico,31.86,220
Agua Natural 1kg,7500105,Bebidas,2026-01-19,FreshCo,3.2,87
Agua Natural Light,7500106,Bebidas,2027-11-25,NutriPlus,78.06,162
Agua Natural Premium,7500107,Bebidas,2026-07-08,Marca Propia,49.04,191
Agua Natural Familiar,7500108,Bebidas,2027-09-26,Jumex,103.32,169
Agua Mineral,7500109,Bebidas,2025-03-11,NutriPlus,18.44,138
Agua Mineral 500g,7500110,Bebidas,2028-06-15,VidaMax,76.99,292
Agua Mineral 1kg,7500111,Bebidas,2026-12-17,Marca Propia,61.25,106
Agua Mineral Light,7500112,Bebidas,2025-02-02,NutriPlus,100.34,307
Agua Mineral Premium,7500113,Bebidas,2028-06-28,Naturas,75.47,333
Agua Mineral Familiar,7500114,Bebidas,2025-12-03,Generico,52.22,430
Jugo de Naranja,7500115,Bebidas,2028-05-10,AlimentaVida,7.02,185
Jugo de Naranja 500g,7500116,Bebidas,2025-05-01,EcoStar,90.24,417
Jugo de Naranja 1kg,7500117,Bebidas,2025-11-18,NutriPlus,24.04,260
Jugo de Naranja Light,7500118,Bebidas,2026-06-14,VidaMax,64.86,69
Jugo de Naranja Premium,7500119,Bebidas,2028-05-22,Jumex,60.15,325
Jugo de Naranja Familiar,7500120,Bebidas,2025-01-10,FreshCo,22.82,248
Jugo de Manzana,7500121,Bebidas,2025-05-16,Generico,79.78,64
Jugo de Manzana 500g,7500122,Bebidas,2026-12-05,PureFarm,69.47,113
Jugo de Manzana 1kg,7500123,Bebidas,2025-04-25,Marca Propia,27.04,496
Jugo de Manzana Light,7500124,Bebidas,2028-07-27,NutriPlus,113.21,312
Jugo de Manzana Premium,7500125,Bebidas,2025-01-25,Pepsi,57.62,310
Jugo de Manzana Familiar,7500126,Bebidas,2028-10-28,NutriPlus,79.18,128
Jugo Multifruta,7500127,Bebidas,2027-06-13,Generico,6.64,315
Jugo Multifruta 500g,7500128,Bebidas,2026-09-18,NaturaBio,111.59,424
Jugo Multifruta 1kg,7500129,Bebidas,2027-04-28,AlimentaVida,90.63,205
Jugo Multifruta Light,7500130,Bebidas,2026-11-26,Pepsi,73.21,461
Jugo Multifruta Premium,7500131,Bebidas,2026-12-20,Marca Propia,77.25,180
Jugo Multifruta Familiar,7500132,Bebidas,2027-02-06,Marca Propia,17.79,450
Te Frio Limon,7500133,Bebidas,2026-07-16,Naturas,47.33,37
Te Frio Limon 500g,7500134,Bebidas,2028-02-03,EcoStar,109.42,415
Te Frio Limon 1kg,7500135,Bebidas,2028-02-13,Del Valle,7.87,472
Te Frio Limon Light,7500136,Bebidas,2028-07-13,EcoStar,69.51,301
Te Frio Limon Premium,7500137,Bebidas,2028-01-14,PureFarm,71.05,129
Te Frio Limon Familiar,7500138,Bebidas,2028-11-24,Del Valle,51.53,144
Te Frio Durazno,7500139,Bebidas,2028-04-13,PureFarm,111.32,270
Te Frio Durazno 500g,7500140,Bebidas,2026-09-26,Marca Propia,40.67,222
Te Frio Durazno 1kg,7500141,Bebidas,2028-12-12,Marca Propia,96.29,272
Te Frio Durazno Light,7500142,Bebidas,2026-04-11,AlimentaVida,14.85,382
Te Frio Durazno Premium,7500143,Bebidas,2028-10-24,NutriPlus,8.24,8
Te Frio Durazno Familiar,7500144,Bebidas,2028-07-23,Del Valle,114.86,375
Bebida Energetica,7500145,Bebidas,2026-08-10,Marca Propia,15.53,64
Bebida Energetica 500g,7500146,Bebidas,2026-02-02,Pepsi,46.99,317
Bebida Energetica 1kg,7500147,Bebidas,2026-03-27,Marca Propia,15.46,290
Bebida Energetica Light,7500148,Bebidas,2028-08-14,AlimentaVida,57.18,474
Bebida Energetica Premium,7500149,Bebidas,2028-01-06,NutriPlus,56.98,164
Bebida Energetica Familiar,7500150,Bebidas,2025-06-26,EcoStar,43.68,356
Isotonica Naranja,7500151,Bebidas,2026-05-19,NaturaBio,89.06,91
Isotonica Naranja 500g,7500152,Bebidas,2025-02-23,Coca Cola,105.0,433
Isotonica Naranja 1kg,7500153,Bebidas,2027-10-17,Pepsi,6.5,198
Isotonica Naranja Light,7500154,Bebidas,2028-05-26,Generico,31.67,70
Isotonica Naranja Premium,7500155,Bebidas,2025-07-06,VidaMax,14.12,223
Isotonica Naranja Familiar,7500156,Bebidas,2025-09-03,Del Valle,35.9,27
Nectar de Mango,7500157,Bebidas,2027-10-19,Marca Propia,74.24,445
Nectar de Mango 500g,7500158,Bebidas,2025-07-18,VidaMax,91.12,233
Nectar de Mango 1kg,7500159,Bebidas,2027-11-24,VidaMax,51.75,164
Nectar de Mango Light,7500160,Bebidas,2026-04-01,Coca Cola,116.43,478
Nectar de Mango Premium,7500161,Bebidas,2027-01-20,Marca Propia,94.5,243
Nectar de Mango Familiar,7500162,Bebidas,2026-01-14,Coca Cola,38.9,336
Refresco Uva,7500163,Bebidas,2025-08-22,Jumex,49.59,489
Refresco Uva 500g,7500164,Bebidas,2028-08-06,Generico,48.96,280
Refresco Uva 1kg,7500165,Bebidas,2026-04-16,AlimentaVida,84.86,127
Refresco Uva Light,7500166,Bebidas,2028-04-11,FreshCo,21.74,405
Refresco Uva Premium,7500167,Bebidas,2025-09-08,Coca Cola,97.77,295
Refresco Uva Familiar,7500168,Bebidas,2027-02-07,AlimentaVida,88.89,196
Agua de Coco,7500169,Bebidas,2025-09-14,FreshCo,103.31,35
Agua de Coco 500g,7500170,Bebidas,2025-04-22,EcoStar,108.71,65
Agua de Coco 1kg,7500171,Bebidas,2028-05-16,AlimentaVida,12.6,301
Agua de Coco Light,7500172,Bebidas,2025-03-20,NutriPlus,24.67,132
Agua de Coco Premium,7500173,Bebidas,2026-07-09,Naturas,34.9,252
Agua de Coco Familiar,7500174,Bebidas,2028-06-08,Marca Propia,84.15,364
Pan Blanco,7500175,Panaderia,2028-06-16,Bimbo,103.7,196
Pan Blanco 500g,7500176,Panaderia,2027-08-09,NutriPlus,84.02,386
Pan Blanco 1kg,7500177,Panaderia,2028-08-22,SuperMax,3.35,444
Pan Blanco Light,7500178,Panaderia,2028-05-20,Holsum,90.27,272
Pan Blanco Premium,7500179,Panaderia,2027-01-17,AlimentaVida,54.19,330
Pan Blanco Familiar,7500180,Panaderia,2027-08-22,VidaMax,98.23,150
Pan Integral,7500181,Panaderia,2028-10-02,SuperMax,16.59,361
Pan Integral 500g,7500182,Panaderia,2028-10-18,Wonder,60.65,140
Pan Integral 1kg,7500183,Panaderia,2025-07-07,Wonder,57.12,14
Pan Integral Light,7500184,Panaderia,2025-12-13,EcoStar,35.88,483
Pan Integral Premium,7500185,Panaderia,2028-05-06,FreshCo,63.83,451
Pan Integral Familiar,7500186,Panaderia,2025-06-10,Nutrella,77.93,475
Pan de Caja,7500187,Panaderia,2025-08-12,VidaMax,81.48,238
Pan de Caja 500g,7500188,Panaderia,2027-08-14,PureFarm,55.67,465
Pan de Caja 1kg,7500189,Panaderia,2028-10-21,Generico,119.4,14
Pan de Caja Light,7500190,Panaderia,2025-08-18,VidaMax,54.81,113
Pan de Caja Premium,7500191,Panaderia,2026-09-09,EcoStar,79.62,331
Pan de Caja Familiar,7500192,Panaderia,2028-06-15,Marca Propia,35.67,284
Croissant,7500193,Panaderia,2027-07-28,FreshCo,84.26,91
Croissant 500g,7500194,Panaderia,2028-03-16,FreshCo,102.0,112
Croissant 1kg,7500195,Panaderia,2025-08-28,NaturaBio,3.97,499
Croissant Light,7500196,Panaderia,2027-06-13,NutriPlus,105.77,21
Croissant Premium,7500197,Panaderia,2028-02-13,Nutrella,49.63,473
Croissant Familiar,7500198,Panaderia,2025-06-12,EcoStar,98.96,327
Dona Azucar,7500199,Panaderia,2028-11-15,NutriPlus,11.03,255
Dona Azucar 500g,7500200,Panaderia,2025-11-14,NutriPlus,91.78,474
Dona Azucar 1kg,7500201,Panaderia,2025-05-10,Bimbo,70.35,6
Dona Azucar Light,7500202,Panaderia,2028-01-12,AlimentaVida,37.22,167
Dona Azucar Premium,7500203,Panaderia,2025-10-16,NutriPlus,35.86,479
Dona Azucar Familiar,7500204,Panaderia,2026-06-05,NutriPlus,119.34,282
Dona Chocolate,7500205,Panaderia,2027-12-23,Nutrella,24.19,200
Dona Chocolate 500g,7500206,Panaderia,2025-03-24,Marca Propia,71.42,432
Dona Chocolate 1kg,7500207,Panaderia,2026-01-13,Nutrella,90.5,371
Dona Chocolate Light,7500208,Panaderia,2028-06-17,SuperMax,96.15,75
Dona Chocolate Premium,7500209,Panaderia,2025-04-03,Marca Propia,10.16,151
Dona Chocolate Familiar,7500210,Panaderia,2028-07-22,NutriPlus,13.91,375
Baguette,7500211,Panaderia,2026-07-08,NaturaBio,49.55,330
Baguette 500g,7500212,Panaderia,2025-12-21,SuperMax,53.14,461
Baguette 1kg,7500213,Panaderia,2027-10-10,Marca Propia,110.94,94
Baguette Light,7500214,Panaderia,2025-03-08,Marinela,41.19,394
Baguette Premium,7500215,Panaderia,2028-12-11,Bimbo,70.98,400
Baguette Familiar,7500216,Panaderia,2027-01-06,EcoStar,102.8,29
Pan Pita,7500217,Panaderia,2027-09-08,Nutrella,41.06,377
Pan Pita 500g,7500218,Panaderia,2027-03-22,Holsum,81.34,429
Pan Pita 1kg,7500219,Panaderia,2027-01-20,Marca Propia,98.11,104
Pan Pita Light,7500220,Panaderia,2027-12-25,Generico,69.91,250
Pan Pita Premium,7500221,Panaderia,2027-02-18,Nutrella,46.81,442
Pan Pita Familiar,7500222,Panaderia,2028-04-05,Marca Propia,98.78,121
Tortilla de Harina,7500223,Panaderia,2027-09-28,Marca Propia,70.04,380
Tortilla de Harina 500g,7500224,Panaderia,2028-12-22,Generico,101.98,434
Tortilla de Harina 1kg,7500225,Panaderia,2026-09-06,Marinela,98.54,26
Tortilla de Harina Light,7500226,Panaderia,2028-08-01,EcoStar,46.03,61
Tortilla de Harina Premium,7500227,Panaderia,2025-01-05,EcoStar,68.45,358
Tortilla de Harina Familiar,7500228,Panaderia,2026-12-23,EcoStar,20.63,115
Bizcocho,7500229,Panaderia,2027-07-01,VidaMax,87.18,381
Bizcocho 500g,7500230,Panaderia,2027-03-02,Bimbo,13.03,403
Bizcocho 1kg,7500231,Panaderia,2026-11-10,NaturaBio,103.19,110
Bizcocho Light,7500232,Panaderia,2028-11-03,EcoStar,3.47,121
Bizcocho Premium,7500233,Panaderia,2027-07-03,Wonder,69.66,60
Bizcocho Familiar,7500234,Panaderia,2027-11-17,SuperMax,60.77,96
Pan Frances,7500235,Panaderia,2026-07-28,Wonder,64.01,381
Pan Frances 500g,7500236,Panaderia,2025-12-06,Holsum,95.33,202
Pan Frances 1kg,7500237,Panaderia,2028-05-03,Generico,6.48,178
Pan Frances Light,7500238,Panaderia,2025-09-05,Wonder,116.67,337
Pan Frances Premium,7500239,Panaderia,2027-09-13,Generico,110.77,365
Pan Frances Familiar,7500240,Panaderia,2027-03-17,Holsum,86.8,212
Galleta Mantequilla,7500241,Panaderia,2027-11-04,PureFarm,67.45,453
Galleta Mantequilla 500g,7500242,Panaderia,2026-09-11,Bimbo,88.94,124
Galleta Mantequilla 1kg,7500243,Panaderia,2028-08-18,NutriPlus,87.03,307
Galleta Mantequilla Light,7500244,Panaderia,2025-11-26,NutriPlus,10.7,482
Galleta Mantequilla Premium,7500245,Panaderia,2025-11-16,AlimentaVida,81.57,32
Galleta Mantequilla Familiar,7500246,Panaderia,2027-01-15,Generico,42.54,236
Muffin Blueberry,7500247,Panaderia,2025-11-19,Generico,28.47,500
Muffin Blueberry 500g,7500248,Panaderia,2027-04-12,AlimentaVida,70.1,489
Muffin Blueberry 1kg,7500249,Panaderia,2027-06-10,Nutrella,21.9,370
Muffin Blueberry Light,7500250,Panaderia,2028-06-24,SuperMax,79.46,250
Muffin Blueberry Premium,7500251,Panaderia,2027-11-06,Marinela,93.48,357
Muffin Blueberry Familiar,7500252,Panaderia,2025-09-10,FreshCo,17.52,130
Panque Vainilla,7500253,Panaderia,2026-06-16,Generico,42.29,406
Panque Vainilla 500g,7500254,Panaderia,2026-05-11,VidaMax,28.7,217
Panque Vainilla 1kg,7500255,Panaderia,2026-02-08,FreshCo,20.8,135
Panque Vainilla Light,7500256,Panaderia,2027-12-21,Marca Propia,72.19,495
Panque Vainilla Premium,7500257,Panaderia,2027-07-09,AlimentaVida,24.81,426
Panque Vainilla Familiar,7500258,Panaderia,2025-06-14,EcoStar,87.36,432
Frijoles Negros,7500259,Abarrotes,2028-10-08,VidaMax,43.92,485
Frijoles Negros 500g,7500260,Abarrotes,2027-02-09,Knorr,88.36,315
Frijoles Negros 1kg,7500261,Abarrotes,2026-10-20,FreshCo,33.31,163
Frijoles Negros Light,7500262,Abarrotes,2026-12-04,PureFarm,15.48,314
Frijoles Negros Premium,7500263,Abarrotes,2026-04-04,Knorr,24.2,488
Frijoles Negros Familiar,7500264,Abarrotes,2028-12-23,PureFarm,26.47,393
Frijoles Rojos,7500265,Abarrotes,2025-12-18,VidaMax,47.65,143
Frijoles Rojos 500g,7500266,Abarrotes,2028-11-25,NaturaBio,5.72,176
Frijoles Rojos 1kg,7500267,Abarrotes,2028-05-25,FreshCo,27.2,157
Frijoles Rojos Light,7500268,Abarrotes,2027-05-09,AlimentaVida,117.34,386
Frijoles Rojos Premium,7500269,Abarrotes,2027-11-10,VidaMax,75.95,390
Frijoles Rojos Familiar,7500270,Abarrotes,2027-03-09,PureFarm,33.08,168
Frijoles Volteados,7500271,Abarrotes,2025-02-15,Generico,5.18,240
Frijoles Volteados 500g,7500272,Abarrotes,2028-08-06,EcoStar,90.17,325
Frijoles Volteados 1kg,7500273,Abarrotes,2027-10-13,EcoStar,31.97,92
Frijoles Volteados Light,7500274,Abarrotes,2028-08-01,SuperMax,31.73,442
Frijoles Volteados Premium,7500275,Abarrotes,2026-07-21,McCormick,85.3,161
Frijoles Volteados Familiar,7500276,Abarrotes,2028-12-21,VidaMax,20.03,171
Arroz Blanco,7500277,Abarrotes,2026-04-09,NutriPlus,93.92,95
Arroz Blanco 500g,7500278,Abarrotes,2026-06-22,Marca Propia,49.76,377
Arroz Blanco 1kg,7500279,Abarrotes,2026-02-27,Maggi,6.98,403
Arroz Blanco Light,7500280,Abarrotes,2028-02-07,VidaMax,33.33,259
Arroz Blanco Premium,7500281,Abarrotes,2027-04-23,Marca Propia,50.38,463
Arroz Blanco Familiar,7500282,Abarrotes,2026-10-06,Knorr,115.14,65
Pasta Espagueti,7500283,Abarrotes,2026-05-27,AlimentaVida,87.13,359
Pasta Espagueti 500g,7500284,Abarrotes,2027-03-21,NaturaBio,94.28,120
Pasta Espagueti 1kg,7500285,Abarrotes,2026-08-14,Herdez,43.73,233
Pasta Espagueti Light,7500286,Abarrotes,2026-08-13,La Costena,52.4,84
Pasta Espagueti Premium,7500287,Abarrotes,2026-08-22,Maggi,17.9,303
Pasta Espagueti Familiar,7500288,Abarrotes,2025-11-10,Knorr,57.35,344
Pasta Tornillo,7500289,Abarrotes,2026-11-08,Herdez,72.8,493
Pasta Tornillo 500g,7500290,Abarrotes,2028-03-27,Knorr,107.24,332
Pasta Tornillo 1kg,7500291,Abarrotes,2025-10-06,NaturaBio,35.03,372
Pasta Tornillo Light,7500292,Abarrotes,2026-11-21,Maggi,86.19,282
Pasta Tornillo Premium,7500293,Abarrotes,2028-04-12,FreshCo,109.9,317
Pasta Tornillo Familiar,7500294,Abarrotes,2026-05-05,PureFarm,106.7,113
Pasta Codito,7500295,Abarrotes,2026-05-05,Generico,34.93,74
Pasta Codito 500g,7500296,Abarrotes,2027-04-11,SuperMax,38.52,274
Pasta Codito 1kg,7500297,Abarrotes,2028-05-15,Maggi,105.6,147
Pasta Codito Light,7500298,Abarrotes,2025-08-28,VidaMax,34.56,305
Pasta Codito Premium,7500299,Abarrotes,2028-12-02,Generico,53.65,492
Pasta Codito Familiar,7500300,Abarrotes,2025-06-17,NutriPlus,107.83,9
Atun en Agua,7500301,Abarrotes,2027-08-19,McCormick,107.09,279
Atun en Agua 500g,7500302,Abarrotes,2025-03-06,VidaMax,35.1,312
Atun en Agua 1kg,7500303,Abarrotes,2026-10-11,VidaMax,114.96,46
Atun en Agua Light,7500304,Abarrotes,2027-01-10,EcoStar,34.27,225
Atun en Agua Premium,7500305,Abarrotes,2025-11-25,Herdez,113.33,246
Atun en Agua Familiar,7500306,Abarrotes,2027-12-15,VidaMax,47.5,155
Atun en Aceite,7500307,Abarrotes,2025-08-22,NutriPlus,72.71,414
Atun en Aceite 500g,7500308,Abarrotes,2027-08-01,Marca Propia,68.49,112
Atun en Aceite 1kg,7500309,Abarrotes,2028-09-20,La Costena,86.95,370
Atun en Aceite Light,7500310,Abarrotes,2026-06-26,Knorr,109.51,8
Atun en Aceite Premium,7500311,Abarrotes,2027-01-21,Generico,75.05,379
Atun en Aceite Familiar,7500312,Abarrotes,2025-06-21,Maggi,73.65,371
Sardinas,7500313,Abarrotes,2027-06-14,La Costena,29.82,216
Sardinas 500g,7500314,Abarrotes,2026-06-08,EcoStar,94.43,197
Sardinas 1kg,7500315,Abarrotes,2025-06-07,Herdez,77.09,220
Sardinas Light,7500316,Abarrotes,2027-02-21,NaturaBio,69.87,69
Sardinas Premium,7500317,Abarrotes,2027-10-28,NutriPlus,87.1,285
Sardinas Familiar,7500318,Abarrotes,2027-09-22,Marca Propia,32.81,60
Maiz Dulce,7500319,Abarrotes,2027-10-06,EcoStar,91.97,23
Maiz Dulce 500g,7500320,Abarrotes,2028-02-17,AlimentaVida,69.04,457
Maiz Dulce 1kg,7500321,Abarrotes,2027-05-04,McCormick,78.74,23
Maiz Dulce Light,7500322,Abarrotes,2025-01-10,Herdez,5.06,55
Maiz Dulce Premium,7500323,Abarrotes,2025-02-11,EcoStar,109.21,388
Maiz Dulce Familiar,7500324,Abarrotes,2026-08-22,FreshCo,114.01,357
Salsa Roja,7500325,Abarrotes,2027-09-02,PureFarm,64.57,203
Salsa Roja 500g,7500326,Abarrotes,2027-09-05,La Costena,61.78,378
Salsa Roja 1kg,7500327,Abarrotes,2027-10-11,Herdez,69.59,240
Salsa Roja Light,7500328,Abarrotes,2026-06-24,Knorr,7.43,498
Salsa Roja Premium,7500329,Abarrotes,2025-02-17,EcoStar,64.75,460
Salsa Roja Familiar,7500330,Abarrotes,2025-06-11,Marca Propia,23.51,371
Salsa Verde,7500331,Abarrotes,2025-01-14,NutriPlus,117.32,327
Salsa Verde 500g,7500332,Abarrotes,2025-03-15,NaturaBio,115.52,491
Salsa Verde 1kg,7500333,Abarrotes,2027-08-13,Generico,34.55,60
Salsa Verde Light,7500334,Abarrotes,2026-06-15,Herdez,19.68,401
Salsa Verde Premium,7500335,Abarrotes,2028-11-05,La Costena,46.29,401
Salsa Verde Familiar,7500336,Abarrotes,2027-11-21,FreshCo,67.98,474
Aceite Vegetal,7500337,Abarrotes,2027-11-23,FreshCo,102.65,77
Aceite Vegetal 500g,7500338,Abarrotes,2027-06-23,EcoStar,107.6,376
Aceite Vegetal 1kg,7500339,Abarrotes,2027-09-18,AlimentaVida,29.32,350
Aceite Vegetal Light,7500340,Abarrotes,2028-09-11,AlimentaVida,60.48,360
Aceite Vegetal Premium,7500341,Abarrotes,2026-02-27,EcoStar,7.51,174
Aceite Vegetal Familiar,7500342,Abarrotes,2026-09-06,La Costena,45.15,37
Aceite de Oliva,7500343,Abarrotes,2028-04-02,VidaMax,31.27,248
Aceite de Oliva 500g,7500344,Abarrotes,2025-10-10,McCormick,110.55,319
